phrase,meaning
Sam Soo Shik Dae Ryun,Three step sparring
IL Soo Shik Dae Ryun,One step sparring
Chwa Dae Ryun,Sitting sparring
Dae Ryun Joon Bee,Ready for sparring
Ja Yoo Dae Ryun,Free sparring
Da Soo Dae Ryun,Sparring against two or more
