phrase,meaning
Joong Dan Kong Kyuk,Middle punch front stance
Sang Dan Kong Kyuk,High punch front stance
Hoeng Jin Kong Kyuk,Side punch(side) horse stance
Yuk Jin Kong Kyuk,"Reverse punch, back stance"
Kwan Soo Kong Kyuk,"Spear hand attack, front stance"
Pal Koop Kong Kyuk,"Elbow attack, front stance"
