phrase,meaning
Joon Bee Jase,Ready stance
Chon Gool Jase,Front stance
Hu Gul Jase,Back stance
Chwe Ha Dan Jase,Low back stance
Kee Mahk Jase,Horse stance
Sa Goh Rip Jase,Side stance
Bal Bul Ri Go Mao Sogi Jase,Duck Foot Stance
