phrase,meaning
Pal,Arm
Bahl,Foot
Chu Mok,Fist
Mok,Neck
Eema,Forehead
Dan Jun,Abdomen
In Joong,Between mouth / nose
Bal Deung,Instep
Bal Yup Koom Chi,Side heel
Ban Jul Kwan Soo,Fore knuckle hand
Bal Ahp Buri Yup,Front outer side of foot
Bal Dwee Koom Chi Yup Ba Dak,Side of heel under the foot
Hur Ri,Waist
Ta Ri,Leg
Soo,Hand
Tuck,Chin
Ko Whan,Groin
Myung Chi,Solar plexus
Bal Ba Dak Mit,Palm foot
Bal Dwee Koom Chi,Heel
Pal Mok,Wrist
Pal Koop,Elbow
