phrase,meaning
Cha Ryut,Attention
Kuk Gi Bay Ray,Bow to flag (if displayed)
Ba-Ro,Return
Chak Sut,Sit
Muk Nyum,Meditation
Sa Bom Nim Kay Kyung Yet,Bow to instructor
Kyo Sa Nim Kay Kyung Yet,Bow to assistant instructor
Sun Beh Nim Kay Kyung Yet,Bow to senior member
Ban Jang Nim Kay Kyung Yet,Bow to prefect
